"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","is_norming","monolingual","typically_developing"
2022-11-05,"English (American)","WS","WS",246904,1387,17,"production",51,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246906,1389,17,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246907,1390,17,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252912,84504,17,"production",18,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252949,84541,17,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252950,84542,17,"production",26,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252952,84544,17,"production",108,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252961,84553,17,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252962,84554,17,"production",19,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252963,84555,17,"production",41,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252968,84560,17,"production",77,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252973,84565,17,"production",163,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252974,84566,17,"production",3,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252975,84567,17,"production",6,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252978,84570,17,"production",18,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252980,84572,17,"production",64,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252988,84580,17,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252990,84582,17,"production",7,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252991,84583,17,"production",88,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252992,84584,17,"production",33,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253007,84599,17,"production",24,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253014,84606,17,"production",62,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253017,84609,17,"production",41,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253018,84610,17,"production",146,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253020,84612,17,"production",78,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253021,84613,17,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253022,84614,17,"production",18,3625,TRUE,TRUE,TRUE,TRUE
